Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 08/01  05:00:00,10.0,21.600016232537985,13.127736613499001,0.0,0.0,0.0
 08/01  06:00:00,11.0,21.719634107196683,12.950207692860555,0.0,0.0,0.0
 08/01  07:00:00,12.0,21.79532919127383,15.022804817460422,0.0,0.0,0.0
 08/01  08:00:00,13.0,21.905392347783305,17.54224349721975,0.0,0.0,0.0
 08/01  09:00:00,14.0,22.07270055988993,19.410869166870757,0.0,0.0,0.0
 08/01  10:00:00,17.0,22.724321372242496,23.812878237541675,0.0,0.0,0.0
 08/01  11:00:00,18.0,22.93904139085497,23.995327429138495,0.0,0.0,0.0
 08/01  12:00:00,18.0,23.116700182231906,24.411367418004186,0.0,0.0,0.0
 08/01  13:00:00,18.0,23.316136507972264,25.578646738419437,1.1502226130453423,0.0,0.0
 08/01  14:00:00,19.0,23.436390408472167,27.61907975433996,6.279760610727408,0.0,0.0
 08/01  15:00:00,19.0,23.363772082761614,27.162376357082792,8.040552732194984,0.0,0.0
 08/01  16:00:00,20.0,23.364440850535576,27.324716311843794,11.837725642266912,0.0,0.0
 08/01  17:00:00,21.0,23.378338766222527,28.375245991543654,18.11049409382327,0.0,0.0
 08/01  18:00:00,21.0,23.344058904813146,27.34619451851862,15.709007582840776,0.0,0.0
 08/01  19:00:00,19.0,23.25628880452073,24.66934756699392,11.2546279641609,0.0,0.0
 08/01  20:00:00,18.0,23.190412893195955,21.412667417448848,5.084467963391344,0.0,0.0
 08/01  21:00:00,17.0,23.326819115696047,20.32157011320799,0.0,0.0,0.0
 08/01  22:00:00,17.0,23.09356426458134,19.51524332725113,0.0,0.0,0.0
 08/01  23:00:00,16.0,22.827994716579877,18.503911337876517,0.0,0.0,0.0
 08/01  24:00:00,16.0,22.746280275892765,18.186981082812103,0.0,0.0,0.0
 08/02  01:00:00,16.0,22.603740197779207,17.885333254767914,0.0,0.0,0.0
 08/02  02:00:00,16.0,22.422766466871238,17.993570193862826,0.0,0.0,0.0
 08/02  03:00:00,15.0,22.153309253073992,17.684406212750236,0.0,0.0,0.0
 08/02  04:00:00,16.0,22.226296032641226,17.456237057474322,0.0,0.0,0.0
 08/02  05:00:00,14.8,21.889895710073528,17.224270658162002,0.0,0.0,0.0
 08/02  06:00:00,14.0,21.701084835368476,17.28310605113524,0.0,0.0,0.0
 08/02  07:00:00,15.0,22.0539971314673,18.576324817410057,0.0,0.0,0.0
 08/02  08:00:00,16.0,22.38378032737167,20.89542699718612,0.0,0.0,0.0
 08/02  09:00:00,18.0,22.83472425159309,24.3118871983973,0.0,0.0,0.0
 08/02  10:00:00,19.0,23.24851094075173,25.937419380635475,0.0,0.0,0.0
 08/02  11:00:00,21.0,23.331908174528266,28.255453915280384,10.598312388119359,0.0,0.0
 08/02  12:00:00,22.0,23.460540505481525,27.065302061275492,9.534104739557618,0.0,0.0
 08/02  13:00:00,22.0,23.373421366725744,28.217349657823064,16.887951845117634,0.0,0.0
 08/02  14:00:00,23.0,23.39832772979343,31.310187063248645,24.482797384876193,0.0,0.0
 08/02  15:00:00,22.0,23.295260272738766,30.644031173414216,30.007877180792377,0.0,0.0
 08/02  16:00:00,20.0,23.22746136347324,29.61094883825857,30.18348184793835,0.0,0.0
 08/02  17:00:00,19.0,23.284469190618303,28.40289552114706,27.56084896068121,0.0,0.0
 08/02  18:00:00,18.0,23.349168372455164,26.46412798374994,21.760492549320688,0.0,0.0
 08/02  19:00:00,17.0,23.299132272348416,24.84590192413397,18.97420248744479,0.0,0.0
 08/02  20:00:00,17.0,23.331987538691436,22.488063314003153,11.764525289853937,0.0,0.0
 08/02  21:00:00,17.0,23.237157468784964,20.356211557675277,6.467795166704673,0.0,0.0
 08/02  22:00:00,16.0,23.209875685766086,19.191347101588114,0.43569283621181487,0.0,0.0
 08/02  23:00:00,15.0,23.060124086862583,18.72345509548521,0.0,0.0,0.0
 08/02  24:00:00,15.0,22.88710235560459,17.747215754137105,0.0,0.0,0.0
 12/22  01:00:00,4.0,18.59795795044763,17.761095811653778,5.1164858174714185,546.7607680791701,0.0
 12/22  02:00:00,4.0,18.58624022768596,17.100591336803163,7.7702684602673004,829.9969397484625,0.0
 12/22  03:00:00,4.0,18.584121649037495,16.446323845937943,9.049117325847739,966.8595706784788,0.0
