Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 11/05  08:00:00,-4.191666666666666,13.96111111,0.0,782.5405384796327,0.0,18.925488077430742,11.020377415495176,114.62369180123734,0.0,1179.78504096475,81.15118142316578,40.32914847138489,0.0
 11/05  09:00:00,-2.8250000000000006,13.96111111,0.0,547.9427056380965,0.0,18.925098397890824,13.332624549153087,83.18776708252194,0.0,861.5863599586504,65.81063046452174,84.17932866766542,0.0
 11/05  10:00:00,0.28333333333333327,13.96666667,0.0,591.2142925217455,0.0,18.924714595035542,16.759984715980902,47.73296734552536,0.0,504.3995723689613,42.16324804037358,133.8103018879741,0.0
 11/05  11:00:00,3.625,13.96666667,0.0,607.4260700099611,0.0,18.924538670177185,20.272091804933684,22.197831213659185,0.0,246.1411845463633,17.14283659748244,169.41639308091325,0.0
 11/05  12:00:00,6.633333333333333,13.96666667,0.0,708.525432883078,0.0,18.92456327714611,23.828756920517943,6.637839153305443,0.0,88.10091231982159,0.0,190.90104919167266,0.0
 11/05  13:00:00,9.083333333333334,13.96666667,0.0,785.0736555463277,0.0,19.074267553655964,25.699105895494508,0.12208006655125452,0.0,1.662668064608387,0.0,166.4993229732489,0.0
 11/05  14:00:00,10.991666666666667,13.97222222,0.0,906.3790855309188,0.0,19.694030250768094,25.10738532121736,0.0,0.0,0.0,0.0,0.0,0.0
 11/05  15:00:00,12.341666666666669,13.97222222,0.0,1008.2315125747917,0.0,20.263321962086284,22.80504604757172,0.0,0.0,0.0,0.0,0.0,0.0
 11/05  16:00:00,13.441666666666668,13.97222222,0.0,1163.828974275044,0.0,20.473441304450038,18.945220182135376,0.0,0.0,0.0,0.0,0.0,0.0
 11/05  17:00:00,12.908333333333333,13.977777779999998,0.0,1317.1646008618643,0.0,20.29073964423262,14.430725048123497,0.0,0.0,0.0,0.0,0.0,0.0
 11/05  18:00:00,10.566666666666666,13.977777779999998,0.0,855.6671722646028,0.0,19.692228133563663,10.336522163396719,0.0,0.0,0.0,0.0,66.66666666666669,0.0
 11/05  19:00:00,6.833333333333333,13.977777779999998,0.0,733.4415924696382,0.0,18.993590418274028,7.667014317256057,9.466992290583425,0.0,113.32444992354999,2.508082946819599,187.01091556745544,0.0
 11/05  20:00:00,3.366666666666667,13.977777779999998,0.0,676.4952904278178,0.0,18.90850806309208,6.915268174586337,39.97640372461813,0.0,432.4666917121502,25.545268608635954,144.97081411112336,0.0
 11/05  21:00:00,1.5583333333333336,13.97222222,0.0,597.4610233611496,0.0,18.91976460749734,6.639623328065306,64.06872548626829,0.0,667.093258176072,53.45781301755979,111.43835308302732,0.0
 11/05  22:00:00,0.8083333333333332,13.97222222,0.0,525.2289521608918,0.0,18.92083391228448,6.326673194309383,82.66227435351577,0.0,845.1529305696149,77.06907210010836,85.46346018126273,0.0
 11/05  23:00:00,-0.09999999999999998,13.97222222,0.0,359.0244343341528,0.0,18.91826579584347,6.257550514535154,101.58699666120015,0.0,1038.734435325484,88.8767397525469,59.1074616290553,0.0
 11/05  24:00:00,-0.6,13.97222222,0.0,324.3462973879955,0.0,18.92377164858839,6.175479851707068,116.36483007493023,0.0,1180.9576192176974,106.05544065892508,38.36836751777401,0.0
