Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 12/16  17:00:00,4.4,20.139617956634012,20.503820647131228,14.789351608504804,9.625648146209524,1180.5657976322948,0.0
 12/16  18:00:00,3.3,20.04144872453532,19.10359731461713,14.5366994050622,11.749466901167445,1447.1669435642884,0.0
 12/16  19:00:00,3.3,20.06516558606875,18.70536088890018,14.997921922075335,14.372266893456667,1777.0189948079951,0.0
 12/16  20:00:00,2.8,20.096169218514227,19.509677102849125,16.252911496077903,15.730763001493582,1939.9272469828768,0.0
 12/16  21:00:00,2.2,20.098399332771617,19.149311412745483,15.902838359616672,17.846237874937792,2188.075100100253,0.0
 12/16  22:00:00,1.7,20.09185736941399,18.08988769432296,14.405024620311124,20.161444180059434,2474.6527398174367,0.0
 12/16  23:00:00,1.1,18.642003897065166,17.742257292522417,14.763448247530816,11.616921672188814,1434.0615622909054,0.0
 12/16  24:00:00,1.1,18.439595427397727,16.907349796561515,13.696201244514207,13.475788160387912,1734.4515961558504,0.0
 12/17  01:00:00,0.6,18.4278605340739,18.01184736631848,15.632013383573897,14.976510322016807,1946.0306427372595,0.0
 12/17  02:00:00,1.1,18.42962935191142,16.893287685162534,13.502792677230223,16.65599701993971,2149.8976548313,0.0
 12/17  03:00:00,1.1,18.437642677873814,18.081979867897065,15.530402533076455,16.92950217096936,2201.4463213194194,0.0
 12/17  04:00:00,1.1,18.429437069516734,16.549003497028373,12.922545031967132,18.69959495242186,2413.5981577579937,0.0
 12/17  05:00:00,1.7,18.447091346321375,18.240158611387212,15.43980203104734,17.30433726206903,2254.7201297421148,0.0
 12/17  06:00:00,1.7,19.774969911547693,17.220442883295977,13.202084458996557,27.864363758825903,3596.6741683177524,0.0
 12/17  07:00:00,2.2,20.042191671045902,17.371092363889776,14.462674330161809,28.813971901624186,3605.2977077704377,0.0
 12/17  08:00:00,2.2,20.08457462721913,15.81076477908596,11.983288063954298,30.301320854832145,3743.2318050939684,0.0
 12/17  09:00:00,2.8,20.131101854857423,18.297788049023858,14.584610145238951,24.659399171797894,3071.917855948527,0.0
 12/17  10:00:00,4.4,20.15721010184381,18.69859394918709,13.696159895492737,20.04612846708492,2468.6946458744505,0.0
 12/17  11:00:00,4.4,20.168112795337464,23.553702643057154,15.706339888171497,15.020835343802652,1855.1125591224552,0.0
 12/17  12:00:00,6.1,20.17022446217461,22.946302528904912,13.639777445819455,12.483402454331353,1529.7220349182464,0.0
 12/17  13:00:00,7.2,20.173589488697317,25.282803299084918,15.872663571016162,9.767372134479512,1206.732893467668,0.0
 12/17  14:00:00,7.2,20.20608921163022,23.858569045191608,14.042131348547073,9.42307701896603,1154.5226224731632,0.0
 12/17  15:00:00,6.7,20.14479733635017,21.26937451776441,13.913018229668426,11.795036769316905,1454.7447188735416,0.0
 12/17  16:00:00,6.1,20.06294788079973,23.810521300948768,15.898473865994784,9.877973209678427,1221.322630634315,0.0
 12/17  17:00:00,6.1,20.129433933095566,19.415718756842463,13.25658245711703,11.944747063261829,1469.4832972492773,0.0
 12/17  18:00:00,6.1,20.115677889351467,22.515774787214546,15.786634682644415,12.815598451706459,1589.5270053276195,0.0
