Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/20  17:00:00,11.183333333333335,4.1000000000000005,4.548871038603533,0.0,0.0,26.189502553590653,15.468531832666436,13.58244525215414,0.0,0.0
 10/20  18:00:00,9.641666666666667,3.516666666666667,0.0,0.0,0.0,26.233160386311564,12.906831384516172,13.33720372522329,0.0,0.0
 10/20  19:00:00,6.791666666666667,3.1,0.0,0.0,0.0,26.152265940261714,10.65480373137109,12.795818816112465,0.0,0.0
 10/20  20:00:00,4.625,3.391666666666667,0.0,0.0,0.0,25.9164926210849,8.387452682885035,12.038800367140476,0.0,0.0
 10/20  21:00:00,3.65,3.891666666666667,0.0,0.0,0.0,25.54880086741045,6.604337562136784,11.399929442272265,0.0,0.0
 10/20  22:00:00,3.283333333333333,2.5833333333333335,0.0,0.0,0.0,25.145770204771143,6.074902641938223,12.337949544171357,0.0,0.0
 10/20  23:00:00,3.2583333333333333,0.625,0.0,0.0,0.0,24.801531021312275,5.404590521746814,14.237451524647305,0.0,0.0
 10/20  24:00:00,2.3666666666666667,1.8083333333333333,0.0,0.0,0.0,25.00336979694085,5.274360799735269,13.470486480332402,28.59355006167978,2386.418757747253
 10/21  01:00:00,1.7583333333333335,3.6833333333333336,0.0,0.0,0.0,24.969290884534278,4.568112009980449,11.52935233843528,34.800524949661465,2904.4531140826293
 10/21  02:00:00,1.2750000000000001,3.8083333333333336,0.0,0.0,0.0,25.802009074124452,4.170598127219825,10.728332697354196,17.253766529930925,1440.0
