Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/06  10:00:00,9.4,8.733333333,0.0,449.71410205278596,0.0,19.72286734561238,10.809882860903253,2.1876624763749817,0.0,45.678882437640794,0.0,197.68504565673902,0.0
 01/06  11:00:00,12.2,8.727777778,0.0,449.71410205278596,0.0,19.927321251464527,15.139291528087782,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  12:00:00,14.4,8.716666667,0.0,449.71410205278596,0.0,20.364692810224838,19.127039642744545,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  13:00:00,16.1,8.711111111,0.0,449.71410205278596,0.0,20.827957026709292,21.933989352142227,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  14:00:00,16.1,8.705555556,0.0,449.71410205278596,0.0,21.24392584091394,23.148529200664868,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  15:00:00,17.2,8.7,0.0,449.71410205278596,0.0,21.693467604410877,23.647844975074513,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  16:00:00,17.2,8.694444444,0.0,449.71410205278596,0.0,22.087901369321244,22.87729295199539,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  17:00:00,16.1,8.688888889,0.0,449.71410205278596,0.0,22.39502598456722,22.071588546513176,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  18:00:00,12.2,8.677777778,0.0,449.71410205278596,0.0,21.728132325897253,18.67656134561824,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  19:00:00,11.7,8.672222222,0.0,449.71410205278596,0.0,21.297592513661186,15.438596742560986,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  20:00:00,11.7,8.666666667,0.0,449.71410205278596,0.0,20.975256069538204,12.997528038908385,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  21:00:00,9.4,8.655555556,0.0,449.71410205278596,0.0,20.526362327441355,10.794106049675321,0.0,0.0,0.0,0.0,200.0,0.0
 01/06  22:00:00,9.4,8.65,0.0,449.71410205278596,0.0,20.18839108217557,9.422925850710087,0.0,0.0,0.0,0.0,200.0,0.0
 01/06  23:00:00,8.3,8.638888889,0.0,449.71410205278596,0.0,19.89960672744011,8.228933888597577,0.0,0.0,0.0,0.0,200.0,0.0
 01/06  24:00:00,7.2,8.633333333,0.0,449.71410205278596,0.0,19.56666977718449,7.223921840553048,0.0,0.0,0.0,0.0,200.0,0.0
 01/07  01:00:00,8.3,8.622222222,0.0,449.71410205278596,0.0,19.320048428041957,7.26568634754727,0.0,0.0,0.0,0.0,200.0,0.0
